"NAME","EXTERNAL ID","DATA CENTER","ERROR"
"ARDRVCS01","ARDRVCS01","","DUPLICATE_VALUE:Duplicate external id specified: ardrvcs01
Error fields: External_Id__c "
"ARdrvcs01","ARdrvcs01","","DUPLICATE_VALUE:Duplicate external id specified: ardrvcs01
Error fields: External_Id__c "
"ARHGAPP01","ARHGAPP01","","DUPLICATE_VALUE:Duplicate external id specified: arhgapp01
Error fields: External_Id__c "
"ARHGAPP01","ARHGAPP01","","DUPLICATE_VALUE:Duplicate external id specified: arhgapp01
Error fields: External_Id__c "
"BTL08090203","BTL08090203","","DUPLICATE_VALUE:Duplicate external id specified: btl08090203
Error fields: External_Id__c "
"BTL08090203","BTL08090203","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: btl08090203
Error fields: External_Id__c "
"BTL08090203","BTL08090203","","DUPLICATE_VALUE:Duplicate external id specified: btl08090203
Error fields: External_Id__c "
"BTL09032605","BTL09032605","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: btl09032605
Error fields: External_Id__c "
"btl09032605","btl09032605","","DUPLICATE_VALUE:Duplicate external id specified: btl09032605
Error fields: External_Id__c "
"btl11060102","btl11060102","","DUPLICATE_VALUE:Duplicate external id specified: btl11060102
Error fields: External_Id__c "
"btl11060102","btl11060102","","DUPLICATE_VALUE:Duplicate external id specified: btl11060102
Error fields: External_Id__c "
"CGWAPP104DV","CGWAPP104DV","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp104dv
Error fields: External_Id__c "
"CGWAPP104DV","CGWAPP104DV","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp104dv
Error fields: External_Id__c "
"CGWAPP1208PS","CGWAPP1208PS","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp1208ps
Error fields: External_Id__c "
"CGWAPP1208PS","CGWAPP1208PS","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp1208ps
Error fields: External_Id__c "
"CGWAPP369TS","CGWAPP369TS","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp369ts
Error fields: External_Id__c "
"cgwapp369ts","cgwapp369ts","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp369ts
Error fields: External_Id__c "
"CGWAPP397PD","CGWAPP397PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp397pd
Error fields: External_Id__c "
"CGWAPP397PD","CGWAPP397PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp397pd
Error fields: External_Id__c "
"CGWAPP610PD","CGWAPP610PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwapp610pd
Error fields: External_Id__c "
"CGWAPP610PD","CGWAPP610PD","","DUPLICATE_VALUE:Duplicate external id specified: cgwapp610pd
Error fields: External_Id__c "
"CGWAPP969PD","CGWAPP969PD","","DUPLICATE_VALUE:Duplicate external id specified: cgwapp969pd
Error fields: External_Id__c "
"CGWAPP969PD","CGWAPP969PD","","DUPLICATE_VALUE:Duplicate external id specified: cgwapp969pd
Error fields: External_Id__c "
"CGWBTL013PD","CGWBTL013PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwbtl013pd
Error fields: External_Id__c "
"CGWBTL013PD","CGWBTL013PD","","DUPLICATE_VALUE:Duplicate external id specified: cgwbtl013pd
Error fields: External_Id__c "
"cgwbtl510pd","cgwbtl510pd","","DUPLICATE_VALUE:Duplicate external id specified: cgwbtl510pd
Error fields: External_Id__c "
"CGWBTL510PD","CGWBTL510PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwbtl510pd
Error fields: External_Id__c "
"CGWLEB323PD","CGWLEB323PD","WCP data centre","DUPLICATE_VALUE:Duplicate external id specified: cgwleb323pd
Error fields: External_Id__c "
"CGWLEB323PD","CGWLEB323PD","","DUPLICATE_VALUE:Duplicate external id specified: cgwleb323pd
Error fields: External_Id__c "
"CGWSQL160PD","CGWSQL160PD","","DUPLICATE_VALUE:Duplicate external id specified: cgwsql160pd
Error fields: External_Id__c "
"CGWSQL160PD","CGWSQL160PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwsql160pd
Error fields: External_Id__c "
"cgwsql240np","cgwsql240np","","DUPLICATE_VALUE:Duplicate external id specified: cgwsql240np
Error fields: External_Id__c "
"CGWSQL240NP","CGWSQL240NP","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwsql240np
Error fields: External_Id__c "
"CGWSQL339PD","CGWSQL339PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwsql339pd
Error fields: External_Id__c "
"CGWSQL339PD","CGWSQL339PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgwsql339pd
Error fields: External_Id__c "
"CGYDRUM01","CGYDRUM01","COLo datacentre","DUPLICATE_VALUE:Duplicate external id specified: cgydrum01
Error fields: External_Id__c "
"cgydrum01","cgydrum01","","DUPLICATE_VALUE:Duplicate external id specified: cgydrum01
Error fields: External_Id__c "
"cgywcpch01","cgywcpch01","","DUPLICATE_VALUE:Duplicate external id specified: cgywcpch01
Error fields: External_Id__c "
"CGYWCPCH01","CGYWCPCH01","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cgywcpch01
Error fields: External_Id__c "
"cls023","cls023","","DUPLICATE_VALUE:Duplicate external id specified: cls023
Error fields: External_Id__c "
