"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a9K2a0000004Ce7EAE"," HWF013"," HWF013","","Item Updated"
"a9K2a0000004Ce8EAE","0102042SVR1  ","0102042SVR1  ","","Item Updated"
"a9K2a0000004Ce9EAE","0102042SVR2","0102042SVR2","","Item Updated"
"a9K2a0000004CeAEAU","10.180.1.213","10.180.1.213","","Item Updated"
"a9K2a0000004CeBEAU","10.180.1.91","10.180.1.91","","Item Updated"
"a9K2a0000004CeCEAU","10.180.1.94","10.180.1.94","","Item Updated"
"a9K2a0000004CeDEAU","10.180.1.95","10.180.1.95","","Item Updated"
"a9K2a0000004CeEEAU","10.180.1.96","10.180.1.96","","Item Updated"
"a9K2a0000004CeFEAU","10.200.98.151","10.200.98.151","","Item Updated"
"a9K2a0000004CeGEAU","10.200.98.152","10.200.98.152","","Item Updated"
"a9K2a0000004CeHEAU","10.200.98.153","10.200.98.153","","Item Updated"
"a9K2a0000004CeIEAU","10.216.101.31","10.216.101.31","","Item Updated"
"a9K2a0000004CeJEAU","10.216.101.32","10.216.101.32","","Item Updated"
"a9K2a0000004CeKEAU","10.216.101.33","10.216.101.33","","Item Updated"
"a9K2a0000004CeLEAU","10.216.101.34","10.216.101.34","","Item Updated"
"a9K2a0000004CeMEAU","10.216.101.35","10.216.101.35","","Item Updated"
"a9K2a0000004CeNEAU","10.216.101.36","10.216.101.36","","Item Updated"
"a9K2a0000004CeOEAU","10.216.101.82","10.216.101.82","","Item Updated"
"a9K2a0000004CePEAU","10.216.101.83","10.216.101.83","","Item Updated"
"a9K2a0000004CeQEAU","10.216.101.84","10.216.101.84","","Item Updated"
"a9K2a0000004CeREAU","10.216.101.85","10.216.101.85","","Item Updated"
"a9K2a0000004CeSEAU","10.216.101.86","10.216.101.86","","Item Updated"
"a9K2a0000004CeTEAU","10.216.101.87","10.216.101.87","","Item Updated"
"a9K2a0000004CeUEAU","10.222.32.70","10.222.32.70","","Item Updated"
"a9K2a0000004CeVEAU","6","6","","Item Updated"
"a9K2a0000004CeWEAU","ANF001","ANF001","","Item Updated"
"a9K2a0000004CBjEAM","ARDRDC01","ARDRDC01","","Item Updated"
"a9K2a0000004CeXEAU","ARDRHPMGMT","ARDRHPMGMT","","Item Updated"
"a9K2a0000004CeYEAU","ARDRMBX01","ARDRMBX01","","Item Updated"
"a9K2a0000004CeZEAU","ARDRMBX02","ARDRMBX02","","Item Updated"
"a9K2a0000004CeaEAE","ARDRSNAP01","ARDRSNAP01","","Item Updated"
"a9K2a0000004CebEAE","ARDRSQL01","ARDRSQL01","Allandale DR Data Center ","Item Updated"
"a9K2a0000004CecEAE","ARDRSRM01","ARDRSRM01","Allandale DR Data Center ","Item Updated"
"a9K2a0000004CBkEAM","ARDRTSM01","ARDRTSM01","Allandale DR Data Center ","Item Updated"
"a9K2a0000004CedEAE","ARGBAPP01","ARGBAPP01","","Item Updated"
"a9K2a0000004CeeEAE","ARGBAPP02","ARGBAPP02","","Item Updated"
"a9K2a0000004CefEAE","ARGBBAK01","ARGBBAK01","","Item Updated"
"a9K2a0000004CegEAE","ARGBDC01","ARGBDC01","","Item Updated"
"a9K2a0000004CehEAE","ARGBMBX20","ARGBMBX20","","Item Updated"
"a9K2a0000004CeiEAE","ARGBSCCM01","ARGBSCCM01","","Item Updated"
"a9K2a0000004CejEAE","ARHGBAK01","ARHGBAK01","","Item Updated"
"a9K2a0000004CekEAE","ARHGBK01","ARHGBK01","","Item Updated"
"a9K2a0000004CelEAE","arhgd2d.hq","arhgd2d.hq","","Item Updated"
"a9K2a0000004CBlEAM","ARHGDC01","ARHGDC01","","Item Updated"
"a9K2a0000004CemEAE","ARHGMBX01","ARHGMBX01","","Item Updated"
