"WELL_LOCATION","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","ERROR"
"100010100101W300","0","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100010504604W402","0","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100021704902W402","0","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100030504606W400","0.013","2.53","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100030504606w400
Error fields: PVR_UWI_RAW__c "
"100030504606W400","0.2581","2.53","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100030504606w400
Error fields: PVR_UWI_RAW__c "
"100040804910W403","0","0","05-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100042104906W402","0.16357","7.58","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100042205405W400","0","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100052007319W400","0","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100052007319w400
Error fields: PVR_UWI_RAW__c "
"100052007319W400","0.1023","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100052007319w400
Error fields: PVR_UWI_RAW__c "
"100052205405W400","0","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100053507725W400","0","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100053507725w400
Error fields: PVR_UWI_RAW__c "
"100053507725W400","0.6116","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100053507725w400
Error fields: PVR_UWI_RAW__c "
"100053607320W400","0","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100053607320w400
Error fields: PVR_UWI_RAW__c "
"100053607320W400","0.00389","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100053607320w400
Error fields: PVR_UWI_RAW__c "
"100060107825W400","0.0023","4.75","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100060107825w400
Error fields: PVR_UWI_RAW__c "
"100060107825W400","0.0397","4.75","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100060107825w400
Error fields: PVR_UWI_RAW__c "
"100061307825W400","0.06213","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100061307825w400
Error fields: PVR_UWI_RAW__c "
"100061307825W400","1.46282","0","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100061307825w400
Error fields: PVR_UWI_RAW__c "
"100063004805W400","0.008","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100072205405W400","0","0","08-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100072304801W402","0","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100072404907W403","0","0","01-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100080307825W400","0.0023","5.09","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100080307825w400
Error fields: PVR_UWI_RAW__c "
"100080307825W400","0.04197","5.09","07-MAY-18","DUPLICATE_VALUE:Duplicate external id specified: 100080307825w400
Error fields: PVR_UWI_RAW__c "
"100081104808W400","0.008","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100090304904W403","0","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100090705307W402","0","0","07-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
