"RULEDEFAULTNAME","MONITORINSTANCE","TIME","MINVALUE","AVGVALUE","MAXVALUE","SERVER","SERVERID","METRIC","TYPE","EXTERNAL ID","UNIT","ERROR"
"Processor % Processor Time Total","_Total","2017-11-10T12:00:00Z","70.51104736","90.14154053","99.95678711","btl09032602.hq.huskyenergy.com","btl09032602","CPU Utilization","Baseline","btl09032602.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: btl09032602 not found for field External_Id__c in entity SCOM_Server__c"
"Processor % Processor Time Total","_Total","2017-11-10T12:00:00Z","99.51799011","99.51799011","99.51799011","BTL11060102.hq.huskyenergy.com","BTL11060102","CPU Utilization","Baseline","BTL11060102.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: btl11060102 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","5.289561272","31.55951881","65.48527527","BTL09032605.hq.huskyenergy.com","BTL09032605","CPU Utilization","Baseline","BTL09032605.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: btl09032605 not found for field External_Id__c in entity SCOM_Server__c"
"Processor % Processor Time Total 2003","_Total","2017-11-10T12:00:00Z","4.27298069","8.453225538","20.60733604","CWF744.hq.huskyenergy.com","CWF744","CPU Utilization","Baseline","CWF744.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cwf744 not found for field External_Id__c in entity SCOM_Server__c"
"Processor % Processor Time Total Windows Server 2008","_Total","2017-11-10T12:00:00Z","11.45496368","21.26448941","43.03286743","STX007.hq.huskyenergy.com","STX007","CPU Utilization","Baseline","STX007.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: stx007 not found for field External_Id__c in entity SCOM_Server__c"
"Processor % Processor Time Total 2003","_Total","2017-11-10T12:00:00Z","17.45165825","19.20713393","32.29210663","swf032.hq.huskyenergy.com","swf032","CPU Utilization","Baseline","swf032.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: swf032 not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","28.90810585","59.58794003","95.19747162","CGWAPP610PD.hq.huskyenergy.com","CGWAPP610PD","CPU Utilization","Baseline","CGWAPP610PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cgwapp610pd not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","38.62380219","51.40039698","85.16777039","CGWAPP397PD.hq.huskyenergy.com","CGWAPP397PD","CPU Utilization","Baseline","CGWAPP397PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cgwapp397pd not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","5.977836609","29.54615846","52.94607162","CGWBTL510PD.hq.huskyenergy.com","CGWBTL510PD","CPU Utilization","Baseline","CGWBTL510PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cgwbtl510pd not found for field External_Id__c in entity SCOM_Server__c"
"Processor Information % Processor Time Total Windows Server 2008 R2","_Total","2017-11-10T12:00:00Z","78.55365753","85.06530991","99.23556519","CGWAPP969PD.hq.huskyenergy.com","CGWAPP969PD","CPU Utilization","Baseline","CGWAPP969PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline","%","INVALID_FIELD:Foreign key external ID: cgwapp969pd not found for field External_Id__c in entity SCOM_Server__c"
