"ID","WELL_LOCATION","SUM(TX.VOLUME)","STATUS"
"a8k16000000g0QaAAI","1C0122004704W400","1.17","Item Updated"
"a8k16000000g0QcAAI","1C0132004704W400","1.17","Item Updated"
"a8k16000000g04eAAA","1D0131804704W400","1.17","Item Updated"
"a8k16000000g0MnAAI","100022004704W400","1.17","Item Updated"
"a8k16000000g0acAAA","100101604704W400","1.17","Item Updated"
"a8k16000000g0rIAAQ","100121704704W400","1.17","Item Updated"
"a8k16000000g0QZAAY","100122004704W400","1.17","Item Updated"
"a8k16000000g0rKAAQ","100131704704W400","1.17","Item Updated"
"a8k16000000g0RNAAY","102161904704W400","1.17","Item Updated"
"a8k16000000g07JAAQ","103161804704W400","1.17","Item Updated"
"a8k16000000g01JAAQ","1B0041904704W400","1.17","Item Updated"
"a8k16000000g0JlAAI","100070504606W400","1.2","Item Updated"
"a8k16000000g0avAAA","1C0043004704W400","1.17","Item Updated"
"a8k16000000g0UxAAI","1C0053004704W400","1.17","Item Updated"
"a8k16000000g0aJAAQ","1B0133204506W400","1.2","Item Updated"
"a8k16000000g0JnAAI","1D0070504606W400","1.2","Item Updated"
"a8k16000000g0RcAAI","100041404505W400","2.1","Item Updated"
"a8k16000000g0VrAAI","100033304706W400","0","Item Updated"
"a8k16000000g01TAAQ","100062304706W400","1.3968","Item Updated"
"a8k16000000fzQFAAY","111050304525W300","0","Item Updated"
"a8k16000000fybUAAQ","100083604801W400","2.1","Item Updated"
"a8k16000000fyYjAAI","100113105003W400","2.1016","Item Updated"
"a8k16000000g0w4AAA","100071605405W400","2.1032","Item Updated"
"a8k16000000fyzcAAA","100121305003W402","0.7056","Item Updated"
"a8k16000000fytBAAQ","100151905201W400","2.7944","Item Updated"
"a8k16000000g0pJAAQ","100163305302W400","2.09504","Item Updated"
"a8k16000000g0fEAAQ","100031905301W402","2.09776","Item Updated"
"a8k16000000fy5MAAQ","141031404927W300","1.69488","Item Updated"
"a8k16000000fyHEAAY","141152704927W300","2.09616","Item Updated"
"a8k16000000g0lAAAQ","100071305302W400","2.29616","Item Updated"
"a8k16000000fzAkAAI","111020904826W302","0","Item Updated"
"a8k16000000g0S8AAI","111022504925W305","2.4","Item Updated"
"a8k16000000fy1IAAQ","121081404824W303","1.6","Item Updated"
"a8k16000000g0S0AAI","191152404925W302","2.09616","Item Updated"
"a8k16000000fy17AAA","111062304922W300","2.098","Item Updated"
"a8k16000000fxawAAA","111062304923W300","2.79872","Item Updated"
"a8k16000000fySbAAI","111080704922W300","1.19952","Item Updated"
"a8k16000000fxeSAAQ","111092404923W300","1.4116","Item Updated"
"a8k16000000fxhQAAQ","111092604923W300","1.5952","Item Updated"
"a8k16000000fxp9AAA","111121504922W302","1.3944","Item Updated"
"a8k16000000fyS6AAI","111021004922W300","2.09","Item Updated"
"a8k16000000fz9wAAA","111012504920W300","0","Item Updated"
"a8k16000000fzRSAAY","111151904819W300","4.0048","Item Updated"
"a8k16000000fz4CAAQ","111103304919W300","2.34","Item Updated"
"a8k16000000fzYsAAI","111110105121W300","2.78","Item Updated"
"a8k16000000fzcYAAQ","111163304920W300","2.8","Item Updated"
"a8k16000000g0Y8AAI","100031905302W400","3.19968","Item Updated"
"a8k16000000fxYkAAI","111141905125W303","3.5064","Item Updated"
"a8k16000000g0CVAAY","141050405027W302","1.39952","Item Updated"
"a8k16000000g0CWAAY","142050405027W300","1.39952","Item Updated"
"a8k16000000fyKWAAY","111031704821W303","0","Item Updated"
"a8k16000000fxzTAAQ","111163204722W300","2.1","Item Updated"
"a8k16000000fyH2AAI","111150104928W300","1.3944","Item Updated"
"a8k16000000g0ScAAI","111032205127W302","1.39952","Item Updated"
"a8k16000000g0SbAAI","111032205127W300","1.39952","Item Updated"
"a8k16000000fyQFAAY","111050305125W300","0","Item Updated"
"a8k16000000fxjUAAQ","111093104922W300","1.3944","Item Updated"
"a8k16000000fxlGAAQ","191020605024W300","0","Item Updated"
"a8k16000000fztgAAA","100141705302W400","2.39984","Item Updated"
"a8k16000000g0WXAAY","111140505024W302","0","Item Updated"
"a8k16000000g0EkAAI","121092504925W300","0","Item Updated"
"a8k16000000fy1tAAA","131031204927W300","3.19968","Item Updated"
"a8k16000000fzjkAAA","111132505020W300","2.72968","Item Updated"
"a8k16000000fxejAAA","121072805023W300","0","Item Updated"
"a8k16000000fxtNAAQ","111091604922W300","0.7","Item Updated"
"a8k16000000fz5AAAQ","111163305022W303","2.80048","Item Updated"
"a8k16000000g09vAAA","111151304728W303","2.39856","Item Updated"
"a8k16000000g0NyAAI","100030504504W400","1.39872","Item Updated"
"a8k16000000g14KAAQ","102041505402W402","2.4","Item Updated"
