"ID","WELL_LOCATION","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g27XAAQ","100010207825W400","0.55316","0","07-MAY-18","Item Updated"
"a8k16000000g25sAAA","100010307825W400","0.81407","3.27","07-MAY-18","Item Updated"
"a8k16000000fypyAAA","100011305007W400","0.09556","39.45","07-MAY-18","Item Updated"
"a8k16000000g27OAAQ","100011407825W400","0.0531","0","07-MAY-18","Item Updated"
"a8k16000000g0rQAAQ","100011804704W400","0.08039","31.26","07-MAY-18","Item Updated"
"a8k16000000g0lpAAA","100012104906W400","0.58224","5.01","07-MAY-18","Item Updated"
"a8k16000000fyrvAAA","100012405007W400","0.5223","0","07-MAY-18","Item Updated"
"a8k16000000g0KNAAY","100013004604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzvqAAA","100013004906W400","0.38889","17.91","07-MAY-18","Item Updated"
"a8k16000000g26fAAA","100013407725W400","0.31268","8.62","07-MAY-18","Item Updated"
"a8k16000000g26NAAQ","100013507725W400","0.9589","0","07-MAY-18","Item Updated"
"a8k16000000g27ZAAQ","100020207825W400","0.19249","11.56","07-MAY-18","Item Updated"
"a8k16000000fyeLAAQ","100020305204W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g18tAAA","100020407419W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0JbAAI","100020504606W400","0.01372","1.04","07-MAY-18","Item Updated"
"a8k16000000fyg2AAA","100021005207W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sEAAQ","100021104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g18sAAA","100021207421W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g27PAAQ","100021407825W400","0.12172","0","07-MAY-18","Item Updated"
"a8k16000000g0HeAAI","100021904604W400","0","0","06-MAY-18","Item Updated"
"a8k16000000fzx3AAA","100021904606W400","0.00107","12.83","07-MAY-18","Item Updated"
"a8k16000000g07MAAQ","100021904704W400","0.08038","6.83","06-MAY-18","Item Updated"
"a8k16000000g0MnAAI","100022004704W400","0.0804","50.74","07-MAY-18","Item Updated"
"a8k16000000g0lqAAA","100022104906W400","0.35389","0","07-MAY-18","Item Updated"
"a8k16000000g18mAAA","100022107420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sSAAQ","100022504605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fycsAAA","100022504802W400","0.67261","4.34","07-MAY-18","Item Updated"
"a8k16000000g0HoAAI","100022704604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0KEAAY","100022804604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g23HAAQ","100022907923W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g26jAAA","100023407725W400","0.21538","28.78","07-MAY-18","Item Updated"
"a8k16000000g0sZAAQ","100023604605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17nAAA","100023607320W400","2.07003","0","07-MAY-18","Item Updated"
"a8k16000000fzI4AAI","100030104706W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g24pAAA","100030107825W400","0.36125","5.08","07-MAY-18","Item Updated"
"a8k16000000g27lAAA","100030207825W400","0.25418","3.19","07-MAY-18","Item Updated"
"a8k16000000fzI9AAI","100030604706W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzBqAAI","100031104506W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g16FAAQ","100031107420W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g009AAA","100031404506W400","0.56999","1.04","07-MAY-18","Item Updated"
"a8k16000000g0aWAAQ","100031604704W400","0.08041","5.2","06-MAY-18","Item Updated"
"a8k16000000g0QkAAI","100032104906W402","0.24633","3.8","07-MAY-18","Item Updated"
"a8k16000000fybFAAQ","100032105405W404","0","0","07-MAY-18","Item Updated"
"a8k16000000g0N3AAI","100032304506W400","0.01349","5.93","07-MAY-18","Item Updated"
"a8k16000000g23DAAQ","100032407923W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fycyAAA","100032504802W400","0.5955","4.53","07-MAY-18","Item Updated"
"a8k16000000g0lyAAA","100032904906W400","0.0023","30.93","07-MAY-18","Item Updated"
"a8k16000000g0UtAAI","100033004704W400","0.00235","19.21","06-MAY-18","Item Updated"
"a8k16000000g196AAA","100033007319W400","0.05642","0","07-MAY-18","Item Updated"
"a8k16000000fzvwAAA","100033204906W400","0.15563","0","07-MAY-18","Item Updated"
"a8k16000000g25OAAQ","100033507725W400","0.23002","3.78","07-MAY-18","Item Updated"
"a8k16000000g0prAAA","100040105007W402","0","0","08-MAY-18","Item Updated"
"a8k16000000g0NdAAI","100040605006W403","0","0","01-MAY-18","Item Updated"
"a8k16000000g16DAAQ","100041007420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sFAAQ","100041104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g24dAAA","100041307825W400","0.0571","0","07-MAY-18","Item Updated"
"a8k16000000g00BAAQ","100041404506W400","0.00398","6.01","07-MAY-18","Item Updated"
"a8k16000000g0HfAAI","100041904604W400","0","0","02-MAY-18","Item Updated"
"a8k16000000fzx4AAA","100042004606W400","0.00317","10.87","07-MAY-18","Item Updated"
"a8k16000000g15OAAQ","100042007319W400","0.02738","0","07-MAY-18","Item Updated"
"a8k16000000g0gBAAQ","100042104704W400","0.0804","33.97","07-MAY-18","Item Updated"
"a8k16000000g233AAA","100042208024W404","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sUAAQ","100042504605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0KFAAY","100042804604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0lzAAA","100042904906W400","0.13733","7.58","07-MAY-18","Item Updated"
"a8k16000000g0KOAAY","100043004604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzHzAAI","100043504606W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0saAAA","100043604605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g18OAAQ","100043607320W400","0.00806","0","07-MAY-18","Item Updated"
