"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(DBT.TICKET_SHIPMENT_OIL)","MAX(DBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g285AAA","100010107825W400","Y","0.09755","40.88","08-MAY-18","Item Updated"
"a8k16000000g1xNAAQ","100010305101W400","Y","0.108","0","09-MAY-18","Item Updated"
"a8k16000000g0fPAAQ","100010405302W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyybAAA","100010504902W400","Y","0.13858","25.36","09-MAY-18","Item Updated"
"a8k16000000fzutAAA","100010705305W400","Y","0","19.22","09-MAY-18","Item Updated"
"a8k16000000g21XAAQ","100010705405W402","Y","0.348","0","09-MAY-18","Item Updated"
"a8k16000000fywrAAA","100011005101W400","Y","0.15086","0","07-MAY-18","Item Updated"
"a8k16000000fyiQAAQ","100011005207W400","Y","0.42574","28.32","09-MAY-18","Item Updated"
"a8k1L000000KytcQAC","100011304701W402","Y","0.023","0","09-MAY-18","Item Updated"
"a8k16000000fyxtAAA","100011305301W400","Y","0.1711","28.46","08-MAY-18","Item Updated"
"a8k16000000g0fVAAQ","100011305302W400","Y","0.023","0","09-MAY-18","Item Updated"
"a8k16000000g1rUAAQ","100011305303W402","Y","0.08824","70.22","09-MAY-18","Item Updated"
"a8k16000000g0NAAAY","100011404401W400","Y","0.0772","12.94","08-MAY-18","Item Updated"
"a8k16000000fyt5AAA","100011905201W400","Y","0","191.61","09-MAY-18","Item Updated"
"a8k16000000fytDAAQ","100012005201W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g10XAAQ","100012205006W400","Y","0.22635","0","09-MAY-18","Item Updated"
"a8k16000000g1LSAAY","100012205301W400","Y","0.16806","25.6","08-MAY-18","Item Updated"
"a8k16000000fycKAAQ","100012205406W400","Y","0.0417","147.12","09-MAY-18","Item Updated"
"a8k16000000g0pTAAQ","100012305303W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000fydzAAA","100012305406W400","Y","0.4675","0","09-MAY-18","Item Updated"
"a8k16000000g0UeAAI","100012504402W400","Y","0.17528","0","08-MAY-18","Item Updated"
"a8k16000000g0gZAAQ","100012704804W400","Y","0.0023","25.8","09-MAY-18","Item Updated"
"a8k16000000g0NkAAI","100013104404W400","Y","0.4023","0","09-MAY-18","Item Updated"
"a8k16000000fykJAAQ","100013105306W400","Y","0","25.74","08-MAY-18","Item Updated"
"a8k16000000g1ICAAY","100013205207W400","Y","0.03525","0","09-MAY-18","Item Updated"
"a8k16000000g1JcAAI","100013504802W400","Y","0.24954","0","09-MAY-18","Item Updated"
"a8k16000000g0eMAAQ","100013605303W400","Y","0.31033","0","09-MAY-18","Item Updated"
