"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0h3AAA","1D4082004506W400","N","0.02632","11.29","08-MAY-18","Item Updated"
"a8k16000000g0AsAAI","1D2083004506W400","N","0.143","0","08-MAY-18","Item Updated"
"a8k16000000g0HEAAY","1D2040404606W400","N","0.03764","3.49","08-MAY-18","Item Updated"
"a8k16000000g0D8AAI","1D0163004506W400","N","0.01223","8.62","08-MAY-18","Item Updated"
"a8k16000000g0moAAA","1D0162804506W400","N","0.06918","3.34","08-MAY-18","Item Updated"
"a8k16000000g0rkAAA","1D0162104506W400","N","0.03228","1.88","08-MAY-18","Item Updated"
"a8k16000000g0MsAAI","1D0161604506W400","N","0.01524","14.96","08-MAY-18","Item Updated"
"a8k16000000fzvgAAA","1D0160904506W400","N","0.01253","11.74","08-MAY-18","Item Updated"
"a8k16000000g0RpAAI","1D0160704606W400","N","0.00956","4.62","08-MAY-18","Item Updated"
"a8k16000000g0H9AAI","1D0153304506W400","N","0.03235","4.7","08-MAY-18","Item Updated"
"a8k16000000g0aOAAQ","1D0153204506W400","N","0.00536","10.1","08-MAY-18","Item Updated"
"a8k16000000g0mIAAQ","1D0152904506W400","N","0.00235","8.18","08-MAY-18","Item Updated"
"a8k16000000g0mmAAA","1D0152804506W400","N","0.0711","4.33","08-MAY-18","Item Updated"
"a8k16000000g0riAAA","1D0152104506W400","N","0.08354","7.13","08-MAY-18","Item Updated"
"a8k16000000g0mVAAQ","1D0152004506W400","N","0.05426","0","08-MAY-18","Item Updated"
"a8k16000000g0RnAAI","1D0150704606W400","N","0.00884","1.9","08-MAY-18","Item Updated"
"a8k16000000g0MbAAI","1D0150504606W400","N","0.1249","3.87","08-MAY-18","Item Updated"
"a8k16000000g0H7AAI","1D0143304506W400","N","0.0878","2.29","08-MAY-18","Item Updated"
