"ID","WELL_LOCATION","FAC_NAME","FAC_TYPE","TEST_DATE","VENT_RATE","STATUS"
"a8k16000000g0B2AAI","1D0133004506W400","WWNM 1D0/13-30-045-06W4/00","WI","2009-05-26","71","Item Updated"
"a8k16000000g0EnAAI","1D0052704506W400","WWSM 1D0/05-27-045-06W4/00","WI","2009-07-17","57","Item Updated"
"a8k16000000g0VUAAY","1D0051704606W400","WWNM 1D0/05-17-046-06W4/00","WI","2011-09-26","22","Item Updated"
"a8k16000000g0RxAAI","1D0031704606W400","WWNM 1D0/03-17-046-06W4/00","WI","2011-08-25","56","Item Updated"
"a8k16000000fzx2AAA","1D0011904606W400","WWNM 1D0/01-19-046-06W4/00","WI","2011-09-27","52","Item Updated"
"a8k16000000g04TAAQ","1C0071804704W400","WLDM 1C0/07-18-047-04W4/00","WI","2015-10-22","0","Item Updated"
"a8k16000000g0mUAAQ","1B0152004506W400","WWSM 1B0/15-20-045-06W4/00","WI","2009-06-18","0","Item Updated"
"a8k16000000g0aGAAQ","1B0123204506W400","WWNM 1B0/12-32-045-06W4/00","WI","2012-06-10","2","Item Updated"
"a8k16000000fzvWAAQ","1B0100904506W400","WWSM 1B0/10-09-045-06W4/00","WI","2011-08-09","28","Item Updated"
"a8k16000000g0JpAAI","1B0080504606W400","WWNM 1B0/08-05-046-06W4/00","WI","2014-08-03","0","Item Updated"
"a8k16000000fymYAAQ","1B0032805001W400","ANEH 1B0/03-28-050-01W4/00","WI","2009-10-01","674","Item Updated"
"a8k16000000g1nxAAA","1AA083006404W400","TUCH 1AA/08-30-064-04W4/00","WI","2015-10-16","59","Item Updated"
"a8k16000000fzt4AAA","19D060605023W300","PKWL P11  9D/06-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzt3AAA","19B060605023W300","PKWL P9  9B/06-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g0vUAAQ","19A011705223W300","CLTH 19A/01-17-052-23W3/00","WI","2014-10-03","0.186","Item Updated"
"a8k16000000fzR2AAI","198060605023W300","PKWL P6  98/06-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzKxAAI","196140105024W300","PKWL J13  96/14-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzbOAAQ","196110605023W300","PKWL X2 96/11-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzeHAAQ","196092905223W300","BTHM 4C1-32 96/09-29-052-23W3 CLNY","WI","2010-09-01","0","Item Updated"
"a8k16000000fzt6AAA","196070605023W300","PKWL K9  96/07-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzR1AAI","196060605023W300","PKWL P4  96/06-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzKwAAI","195140105024W300","PKWL J12  95/14-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fztBAAQ","195110605023W300","PKWL R7  95/11-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzKvAAI","194140105024W300","PKWL J11  94/14-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fz85AAA","194060605023W300","PKWL K8  94/06-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fztMAAQ","193153104923W300","PKWL Y9  93/15-31-049-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fziMAAQ","193140605023W300","PKWL G18 93/14-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzKuAAI","193140105024W300","PKWL J10  93/14-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g29iAAA","193132004028W300","NEND 193/13-20-040-28W3 CMGS","WI","2009-09-11","","Item Updated"
"a8k16000000fzBFAAY","193080105024W300","PKWL N13  93/08-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g1MyAAI","193031705223W300","BTHM I3 93/03-17-052-23W3 SPRK","WI","2009-09-01","0","Item Updated"
"a8k16000000fy1KAAQ","192163504828W300","ABRH 192/16-35-048-28W3 SPRK","WI","2010-09-01","0","Item Updated"
"a8k16000000fzKtAAI","192140105024W300","PKWL J8  92/14-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g1F3AAI","192133505120W300","MRVH 192/13-35-051-20W3/00","WI","2015-05-11","0","Item Updated"
"a8k16000000g1nDAAQ","192123304523W300","FRMH 192/12-33-045-23W3/00","WI","2014-09-28","0","Item Updated"
"a8k16000000g1wyAAA","192121804923W300","LSDH 192/12-18-049-23W3/00","WI","2016-05-17","125","Item Updated"
"a8k16000000fzN7AAI","192120904623W300","FRMH 192/12-09-046-23W3/00","WI","2012-05-17","37","Item Updated"
"a8k16000000fxc8AAA","192103605028W300","ABRH 192/10-36-050-28W3/00","WI","2012-05-19","0","Item Updated"
"a8k16000000g1OaAAI","192090704722W300","GDLH 192/09-07-047-22W3/00","WI","2018-03-01","","Item Updated"
"a8k16000000g149AAA","192062604523W300","FRMH 192/06-26-045-23W3/00","WI","2015-08-31","0","Item Updated"
"a8k16000000g1CEAAY","192060304028W300","NEND 192/06-03-040-28W3/00","WI","2014-09-09","","Item Updated"
"a8k16000000fzsxAAA","192050605023W300","PKWL R4  92/05-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fz3aAAA","192010105024W300","PKWL 3C1-1 92/01-01-050-24w3 WSEC","WI","2018-04-18","0","Item Updated"
"a8k16000000g0xtAAA","192010104723W300","GDLH 192/01-01-047-23W3/00","WI","2017-10-01","0","Item Updated"
"a8k16000000fzFgAAI","191163105022W300","WZLH 191/16-31-050-22W3 GP","WI","2012-04-16","118","Item Updated"
"a8k16000000g02KAAQ","191161705124W303","TNCH 191/16-17-051-24W3 SPRK","WI","2010-06-01","17","Item Updated"
"a8k16000000g1ttAAA","191160805223W302","CLTH 191/16-08-052-23W3/02","WI","2017-01-17","0","Item Updated"
"a8k16000000fyCKAAY","191160704821W302","RUSH 191/16-07-048-21W3 SPRK","WI","2009-04-27","0","Item Updated"
"a8k16000000g1v4AAA","191160504826W300","LSHH 191/16-05-048-26W3/00","WI","2016-07-11","477","Item Updated"
"a8k16000000g1zuAAA","191160504823W300","LSDH 191/16-05-048-23W3/00","WI","2017-05-02","308","Item Updated"
"a8k16000000fyG3AAI","191160205022W303","GULH 191/16-02-050-22W3 MNVL","WI","2010-04-26","0","Item Updated"
"a8k16000000fzCAAAY","191160205020W300","MRVH 191/16-02-050-20W3 WSEC","WI","2012-03-05","0","Item Updated"
"a8k16000000fztCAAQ","191160105024W300","PKWL N10  91/16-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fztKAAQ","191153104923W300","PKWL 191/15-31-049-23W3/00","WI","2012-09-30","","Item Updated"
"a8k16000000fyTjAAI","191152904925W300","BGLH 191/15-29-049-25W3 MCLN","WI","2012-06-12","39","Item Updated"
