"ID","WELL_LOCATION","FAC_NAME","FAC_TYPE","EFFECTIVE_DATE","TEST_DATE","VENT_RATE","STATUS"
"a8k16000000fyupAAA","191011304723W300","GDLH 191/01-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000g1h6AAA","191081304723W300","GDLH 191/08-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000g1CAAAY","192011304723W300","GDLH 192/01-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000g1DWAAY","192081304723W300","GDLH 192/08-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000fxjTAAQ","193011304723W300","GDLH 193/01-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000fxjUAAQ","193081304723W300","GDLH 193/08-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000fyUbAAI","194011304723W300","GDLH 194/01-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000fyRxAAI","194091304723W300","GDLH 194/09-13-047-23W3/00","WI","01-SEP-15","14-AUG-15","0","Item Updated"
"a8k16000000fxtNAAQ","1D0011704606W400","WWNM 1D0/01-17-046-06W4/00","WI","01-SEP-15","14-AUG-15","62","Item Updated"
"a8k16000000g0puAAA","1B0042104506W400","WWSM 1B0/04-21-045-06W4/00","WI","01-SEP-15","14-AUG-15","17","Item Updated"
"a8k16000000g1zsAAA","100091504013W400","ALNC 100/09-15-040-13W4/00","WI","01-SEP-15","13-AUG-15","","Item Updated"
"a8k16000000g1ziAAA","191042704723W300","GDLH 191/04-27-047-23W3/00","WI","01-SEP-15","13-AUG-15","25","Item Updated"
"a8k16000000fy8fAAA","191162204723W300","GDLH 191/16-22-047-23W3/00","WI","01-SEP-15","13-AUG-15","380","Item Updated"
"a8k16000000fzu3AAA","193160704722W300","GDLH 193/16-07-047-22W3/00","WI","01-SEP-15","13-AUG-15","0","Item Updated"
"a8k1L000000KyqWQAS","1A0053304001W400","GREE 1A0/05-33-040-01W4/00","WI","01-SEP-15","13-AUG-15","","Item Updated"
"a8k1L000000KyqXQAS","101141305228W300","TNNH 101/14-13-052-28W3 SPRK","WI","01-AUG-15","13-AUG-15","9","Item Updated"
"a8k16000000fxsQAAQ","111063105226W300","TNNH 111/06-31-052-26W3 MCLN","WI","01-AUG-15","13-AUG-15","415","Item Updated"
"a8k16000000fy1IAAQ","100160507509W600","VALH 100/16-05-075-09W6/00","WI","01-MAR-16","13-AUG-15","","Item Updated"
"a8k16000000fxWPAAY","1D0021704606W400","WWNM 1D0/02-17-046-06W4/00","WI","01-SEP-15","13-AUG-15","74","Item Updated"
"a8k16000000fyuyAAA","111052505124W300","CLTH 111/05-25-051-24W3 SPRK","WI","01-AUG-15","12-AUG-15","31","Item Updated"
"a8k16000000fy4gAAA","192160704722W300","GDLH 192/16-07-047-22W3/00","WI","01-SEP-15","12-AUG-15","0","Item Updated"
"a8k16000000fyk8AAA","194162204723W300","GDLH 194/16-22-047-23W3/00","WI","01-SEP-15","12-AUG-15","7","Item Updated"
"a8k16000000g1w7AAA","192162204723W300","GLDH 192/16-22-047-23W3/00","WI","01-SEP-15","12-AUG-15","585","Item Updated"
"a8k16000000g1eUAAQ","101030605326W300","TNNH 101/03-06-053-26W3/00","WI","01-SEP-15","12-AUG-15","636","Item Updated"
"a8k16000000fyqcAAA","141101305228W300","TNNH 141/10-13-052-28W3/00","WI","01-AUG-15","12-AUG-15","56","Item Updated"
"a8k16000000g12HAAQ","100160507509W600","VALH 100/16-05-075-09W6/00","WI","01-MAR-16","12-AUG-15","","Item Updated"
"a8k16000000fyI8AAI","1B0081704606W400","WWNM 1B0/08-17-046-06W4/00","WI","01-SEP-15","12-AUG-15","59","Item Updated"
"a8k16000000g1ztAAA","111013204925W300","BGLH 111/01-32-049-25W3 SPRK","WI","01-AUG-15","11-AUG-15","580","Item Updated"
"a8k16000000g1n4AAA","111053005123W302","CLTH 111/05-30-051-23W3/02","WI","01-AUG-15","11-AUG-15","10","Item Updated"
"a8k16000000fykjAAA","111051504923W300","GULH 111/05-15-049-23W3 WSEC","WI","01-AUG-15","11-AUG-15","1004","Item Updated"
"a8k16000000fyl5AAA","1D0033304506W400","WWSM 1D0/03-33-045-06W4/00","WI","01-AUG-15","11-AUG-15","0","Item Updated"
"a8k16000000fyl6AAA","1D0152804506W400","WWSM 1D0/15-28-045-06W4/00","WI","01-AUG-15","11-AUG-15","5","Item Updated"
"a8k16000000fyOQAAY","112160305227W300","TNNH 112/16-03-052-27W3/00","WI","01-AUG-15","10-AUG-15","198","Item Updated"
"a8k16000000g1W6AAI","111120105122W300","WZLH 111/12-01-051-22W3/00","WI","01-SEP-15","10-AUG-15","175","Item Updated"
"a8k16000000g1xJAAQ","100053304706W400","ASCH 100/05-33-047-06W4/00","WI","01-SEP-15","09-AUG-15","184","Item Updated"
"a8k16000000g0vHAAQ","111102505124W300","CLTH 111/10-25-051-24W3 SPRK","WI","01-AUG-15","09-AUG-15","999","Item Updated"
"a8k16000000g19QAAQ","101110104828W300","EPPH 101/11-01-048-28W3/00","WI","01-AUG-15","09-AUG-15","255","Item Updated"
"a8k16000000fylFAAQ","1D0122804506W400","WWSM 1D0/12-28-045-06W4/00","WI","01-AUG-15","23-JUL-15","0","Item Updated"
"a8k16000000g1NdAAI","105092504802W400","ANEH 105/09-25-048-02W4/00","WI","01-AUG-15","22-JUL-15","210","Item Updated"
"a8k1L000000KyrqQAC","106092504802W400","ANEH 106/09-25-048-02W4/00","WI","01-AUG-15","22-JUL-15","355","Item Updated"
"a8k16000000fxaqAAA","100082504806W400","ASCH 100/08-25-048-06W4/00","WI","01-NOV-15","22-JUL-15","477","Item Updated"
"a8k16000000g0QvAAI","111092605124W300","CLTH 111/09-26-051-24W3/00","WI","01-SEP-15","22-JUL-15","70","Item Updated"
"a8k16000000fxajAAA","131150704919W300","EDMH 131/15-07-049-19W3/00","WI","01-AUG-15","22-JUL-15","188","Item Updated"
"a8k16000000fy9UAAQ","100042400617W402","ETZK 100/04-24-00617W4/02","WI","01-SEP-15","22-JUL-15","","Item Updated"
"a8k16000000fxZQAAY","111020304524W300","FRMH 111/02-03-045-24W3 SPRK","WI","01-SEP-15","22-JUL-15","338","Item Updated"
"a8k16000000fy7BAAQ","1D0073204506W400","WWNM 1D0/07-32-045-06W4/00","WI","01-AUG-15","22-JUL-15","61","Item Updated"
"a8k16000000g0wQAAQ","1B0033304506W400","WWSM 1B0/03-33-045-06W4/00","WI","01-AUG-15","22-JUL-15","21","Item Updated"
"a8k16000000g0w0AAA","1B0132804506W400","WWSM 1B0/13-28-045-06W4/00","WI","01-AUG-15","22-JUL-15","11","Item Updated"
"a8k16000000fyIKAAY","102090904012W400","ALNC 102/09-09-040-12W4/00","WI","01-SEP-15","21-JUL-15","","Item Updated"
"a8k16000000fyIJAAY","100032504802W400","ANEH 100/03-25-048-02W4/00","WI","01-AUG-15","21-JUL-15","887","Item Updated"
"a8k16000000fxqvAAA","102032504802W400","ANEH 102/03-25-048-02W4/00","WI","01-AUG-15","21-JUL-15","767","Item Updated"
"a8k16000000g26kAAA","111162605124W300","CLTH 111/16-26-051-24W3/00","WI","01-SEP-15","21-JUL-15","26","Item Updated"
"a8k16000000g0RLAAY","100060700616W400","ETZK 100/06-07-006-16W4/00","WI","01-SEP-15","21-JUL-15","","Item Updated"
"a8k16000000g0rJAAQ","131101604426W300","MANT 131/10-16-044-26W3/00","WI","01-SEP-15","21-JUL-15","827","Item Updated"
"a8k16000000g0IPAAY","131101604426W300","MANT 131/10-16-044-26W3/00","WI","","21-JUL-15","827","Item Updated"
"a8k16000000g1xOAAQ","191012105020W300","MRVH 191/01-21-050-20W3/00","WI","01-AUG-15","21-JUL-15","42","Item Updated"
"a8k16000000g25WAAQ","100013500717W400","WARN 100/01-35-007-17W4/00","WI","","21-JUL-15","","Item Updated"
"a8k16000000fypyAAA","1B0112704506W400","WWSM 1B0/11-27-045-06W4/00","WI","01-AUG-15","21-JUL-15","0","Item Updated"
"a8k16000000fynOAAQ","1D0132804506W400","WWSM 1D0/13-28-045-06W4/00","WI","01-AUG-15","21-JUL-15","39","Item Updated"
