"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a9K1L000000GmtMUAS"," HWF013"," HWF013","","Item Updated"
"a9K1L000000GmtNUAS","0102042SVR1  ","0102042SVR1  ","","Item Updated"
"a9K1L000000GmtOUAS","0102042SVR2","0102042SVR2","","Item Updated"
"a9K1L000000GmtPUAS","10.180.1.213","10.180.1.213","","Item Updated"
"a9K1L000000GmtQUAS","10.180.1.91","10.180.1.91","","Item Updated"
"a9K1L000000GmtRUAS","10.180.1.94","10.180.1.94","","Item Updated"
"a9K1L000000GmtSUAS","10.180.1.95","10.180.1.95","","Item Updated"
"a9K1L000000GmtTUAS","10.180.1.96","10.180.1.96","","Item Updated"
"a9K1L000000GmtUUAS","10.200.98.151","10.200.98.151","","Item Updated"
"a9K1L000000GmtVUAS","10.200.98.152","10.200.98.152","","Item Updated"
"a9K1L000000GmtWUAS","10.200.98.153","10.200.98.153","","Item Updated"
"a9K1L000000GmtXUAS","10.216.101.31","10.216.101.31","","Item Updated"
"a9K1L000000GmtYUAS","10.216.101.32","10.216.101.32","","Item Updated"
"a9K1L000000GmtZUAS","10.216.101.33","10.216.101.33","","Item Updated"
"a9K1L000000GmtaUAC","10.216.101.34","10.216.101.34","","Item Updated"
"a9K1L000000GmtbUAC","10.216.101.35","10.216.101.35","","Item Updated"
"a9K1L000000GmtcUAC","10.216.101.36","10.216.101.36","","Item Updated"
"a9K1L000000GmtdUAC","10.216.101.82","10.216.101.82","","Item Updated"
"a9K1L000000GmteUAC","10.216.101.83","10.216.101.83","","Item Updated"
"a9K1L000000GmtfUAC","10.216.101.84","10.216.101.84","","Item Updated"
"a9K1L000000GmtgUAC","10.216.101.85","10.216.101.85","","Item Updated"
"a9K1L000000GmthUAC","10.216.101.86","10.216.101.86","","Item Updated"
"a9K1L000000GmtiUAC","10.216.101.87","10.216.101.87","","Item Updated"
"a9K1L000000GmtjUAC","10.222.32.70","10.222.32.70","","Item Updated"
"a9K1L000000GmtkUAC","6","6","","Item Updated"
"a9K1L000000GmtlUAC","ANF001","ANF001","","Item Updated"
"a9K1L000000GmtmUAC","ARDRDC01","ARDRDC01","","Item Updated"
"a9K1L000000GmtnUAC","ARDRHPMGMT","ARDRHPMGMT","","Item Updated"
"a9K1L000000GmtoUAC","ARDRMBX01","ARDRMBX01","","Item Updated"
"a9K1L000000GmtpUAC","ARDRMBX02","ARDRMBX02","","Item Updated"
"a9K1L000000GmtqUAC","ARDRSNAP01","ARDRSNAP01","","Item Updated"
"a9K1L000000GmtrUAC","ARDRSQL01","ARDRSQL01","Allandale DR Data Center ","Item Updated"
"a9K1L000000GmtsUAC","ARDRSRM01","ARDRSRM01","Allandale DR Data Center ","Item Updated"
"a9K1L000000GmttUAC","ARDRTSM01","ARDRTSM01","Allandale DR Data Center ","Item Updated"
"a9K1L000000GmtuUAC","ARGBAPP01","ARGBAPP01","","Item Updated"
"a9K1L000000GmtvUAC","ARGBAPP02","ARGBAPP02","","Item Updated"
"a9K1L000000GmtwUAC","ARGBBAK01","ARGBBAK01","","Item Updated"
"a9K1L000000GmtxUAC","ARGBDC01","ARGBDC01","","Item Updated"
"a9K1L000000GmtyUAC","ARGBMBX20","ARGBMBX20","","Item Updated"
"a9K1L000000GmtzUAC","ARGBSCCM01","ARGBSCCM01","","Item Updated"
"a9K1L000000Gmu0UAC","ARHGBAK01","ARHGBAK01","","Item Updated"
"a9K1L000000Gmu1UAC","ARHGBK01","ARHGBK01","","Item Updated"
"a9K1L000000Gmu2UAC","arhgd2d.hq","arhgd2d.hq","","Item Updated"
"a9K1L000000Gmu3UAC","ARHGDC01","ARHGDC01","","Item Updated"
"a9K1L000000Gmu4UAC","ARHGMBX01","ARHGMBX01","","Item Updated"
"a9K1L000000Gmu5UAC","ARKRAPP01","ARKRAPP01","","Item Updated"
"a9K1L000000Gmu6UAC","ARKRDC01","ARKRDC01","","Item Updated"
"a9K1L000000Gmu7UAC","arkrrbs00","arkrrbs00","","Item Updated"
"a9K1L000000Gmu8UAC","ARKRVCS01","ARKRVCS01","","Item Updated"
"a9K1L000000Gmu9UAC","ARSJAPP01","ARSJAPP01","","Item Updated"
"a9K1L000000GmuAUAS","ARSJAPP01DV","ARSJAPP01DV","","Item Updated"
"a9K1L000000GmuBUAS","ARSJAPP02","ARSJAPP02","","Item Updated"
"a9K1L000000GmuCUAS","ARSJAPP02DV","ARSJAPP02DV","","Item Updated"
"a9K1L000000GmuDUAS","ARSJAPP05","ARSJAPP05","","Item Updated"
"a9K1L000000GmuEUAS","ARSJAPP05DV","ARSJAPP05DV","","Item Updated"
"a9K1L000000GmuFUAS","ARSJAPP06","ARSJAPP06","","Item Updated"
"a9K1L000000GmuGUAS","ARSJAPP06DV","ARSJAPP06DV","","Item Updated"
"a9K1L000000GmuHUAS","ARSJAPP07","ARSJAPP07","","Item Updated"
"a9K1L000000GmuIUAS","ARSJAPP07DV","ARSJAPP07DV","","Item Updated"
"a9K1L000000GmuJUAS","ARSJAPP08","ARSJAPP08","","Item Updated"
"a9K1L000000GmuKUAS","ARSJAPP09","ARSJAPP09","","Item Updated"
"a9K1L000000GmuLUAS","ARSJBES01","ARSJBES01","","Item Updated"
"a9K1L000000GmuMUAS","ARSJBES02","ARSJBES02","","Item Updated"
"a9K1L000000GmuNUAS","ARSJCH01","ARSJCH01","","Item Updated"
"a9K1L000000GmuOUAS","ARSJCH02","ARSJCH02","","Item Updated"
"a9K1L000000GmuPUAS","ARSJCMC01","ARSJCMC01","","Item Updated"
"a9K1L000000GmuQUAS","ARSJCRT01","ARSJCRT01","","Item Updated"
"a9K1L000000GmuRUAS","ARSJCS10DEV01","ARSJCS10DEV01","","Item Updated"
"a9K1L000000GmuSUAS","ARSJCS10DEV02","ARSJCS10DEV02","","Item Updated"
"a9K1L000000GmuTUAS","ARSJCS10PRD01","ARSJCS10PRD01","","Item Updated"
"a9K1L000000GmuUUAS","ARSJCS10PRD02","ARSJCS10PRD02","","Item Updated"
"a9K1L000000GmuVUAS","ARSJCSSTG01","ARSJCSSTG01","","Item Updated"
"a9K1L000000GmuWUAS","ARSJCTX01","ARSJCTX01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuXUAS","ARSJCTX02","ARSJCTX02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuYUAS","ARSJCTX03","ARSJCTX03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuZUAS","ARSJCTX04","ARSJCTX04","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuaUAC","ARSJCTX05DV","ARSJCTX05DV","","Item Updated"
"a9K1L000000GmubUAC","ARSJD2D01.HQ","ARSJD2D01.HQ","","Item Updated"
"a9K1L000000GmucUAC","ARSJDC01","ARSJDC01","","Item Updated"
"a9K1L000000GmudUAC","ARSJDSDV01","ARSJDSDV01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmueUAC","ARSJFMCD01","ARSJFMCD01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmufUAC","ARSJHPC","ARSJHPC","","Item Updated"
"a9K1L000000GmugUAC","ARSJHPC01","ARSJHPC01","","Item Updated"
"a9K1L000000GmuhUAC","ARSJHPC02","ARSJHPC02","","Item Updated"
"a9K1L000000GmuiUAC","ARSJHPC03","ARSJHPC03","","Item Updated"
"a9K1L000000GmujUAC","ARSJHPC04","ARSJHPC04","","Item Updated"
"a9K1L000000GmukUAC","ARSJHPC05","ARSJHPC05","","Item Updated"
"a9K1L000000GmulUAC","ARSJHPC06","ARSJHPC06","","Item Updated"
"a9K1L000000GmumUAC","ARSJHPIRS01","ARSJHPIRS01","","Item Updated"
"a9K1L000000GmunUAC","ARSJIMSD01","ARSJIMSD01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuoUAC","ARSJIMSD03","ARSJIMSD03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmupUAC","ARSJLB02","ARSJLB02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuqUAC","ARSJLB03","ARSJLB03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmurUAC","ARSJLDCOPS","ARSJLDCOPS","","Item Updated"
"a9K1L000000GmusUAC","ARSJLIC01","ARSJLIC01","","Item Updated"
"a9K1L000000GmutUAC","ARSJLIC02","ARSJLIC02","","Item Updated"
"a9K1L000000GmuuUAC","ARSJLINUXBUILD","ARSJLINUXBUILD","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuvUAC","ARSJLLDEV01","ARSJLLDEV01","","Item Updated"
"a9K1L000000GmuwUAC","ARSJLLDEV02","ARSJLLDEV02","","Item Updated"
"a9K1L000000GmuxUAC","ARSJLS01","ARSJLS01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuyUAC","ARSJLS02","ARSJLS02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmuzUAC","ARSJLS03","ARSJLS03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv0UAC","ARSJLS04","ARSJLS04","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv1UAC","ARSJLS05","ARSJLS05","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv2UAC","ARSJLS06","ARSJLS06","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv3UAC","ARSJLS07","ARSJLS07","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv4UAC","ARSJLS08","ARSJLS08","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv5UAC","ARSJLS09","ARSJLS09","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv6UAC","ARSJLS10","ARSJLS10","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv7UAC","ARSJLS11","ARSJLS11","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv8UAC","ARSJLS12","ARSJLS12","St. John's 351 - Data Center","Item Updated"
"a9K1L000000Gmv9UAC","ARSJLW01","ARSJLW01","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvAUAS","ARSJLW02","ARSJLW02","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvBUAS","ARSJLW03","ARSJLW03","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvCUAS","ARSJLW04","ARSJLW04","","Item Updated"
"a9K1L000000GmvDUAS","ARSJLW05","ARSJLW05","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvEUAS","ARSJLW07","ARSJLW07","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvFUAS","ARSJLW08","ARSJLW08","","Item Updated"
"a9K1L000000GmvGUAS","ARSJLW09","ARSJLW09","","Item Updated"
"a9K1L000000GmvHUAS","ARSJLW10","ARSJLW10","","Item Updated"
"a9K1L000000GmvIUAS","ARSJLW11","ARSJLW11","","Item Updated"
"a9K1L000000GmvJUAS","ARSJLW12","ARSJLW12","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvKUAS","ARSJLW13","ARSJLW13","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvLUAS","ARSJLW14","ARSJLW14","St. John's 351 - Data Center","Item Updated"
"a9K1L000000GmvMUAS","ARSJLW15","ARSJLW15","","Item Updated"
"a9K1L000000GmvNUAS","ARSJMBR01","ARSJMBR01","","Item Updated"
"a9K1L000000GmvOUAS","ARSJMBX01","ARSJMBX01","","Item Updated"
"a9K1L000000GmvPUAS","ARSJMBX02","ARSJMBX02","","Item Updated"
"a9K1L000000GmvQUAS","ARSJMID01","ARSJMID01","","Item Updated"
"a9K1L000000GmvRUAS","ARSJMON01","ARSJMON01","","Item Updated"
"a9K1L000000GmvSUAS","ARSJNCC01","ARSJNCC01","","Item Updated"
"a9K1L000000GmvTUAS","ARSJNCR01","ARSJNCR01","","Item Updated"
"a9K1L000000GmvUUAS","ARSJSCCM01","ARSJSCCM01","","Item Updated"
"a9K1L000000GmvVUAS","ARSJSCCM03","ARSJSCCM03","","Item Updated"
"a9K1L000000GmvWUAS","ARSJSCOM01","ARSJSCOM01","","Item Updated"
"a9K1L000000GoBkUAK","ARSJSCOM02","ARSJSCOM02","","Item Created"
"a9K1L000000GoBlUAK","ARSJSCOM03","ARSJSCOM03","","Item Created"
"a9K1L000000GmvXUAS","ARSJSNAP01","ARSJSNAP01","","Item Updated"
"a9K1L000000GmvYUAS","ARSJSNAPVM01","ARSJSNAPVM01","","Item Updated"
"a9K1L000000GmvZUAS","ARSJSQL01","ARSJSQL01","","Item Updated"
"a9K1L000000GmvaUAC","ARSJSQL01DV","ARSJSQL01DV","","Item Updated"
"a9K1L000000GmvbUAC","ARSJSQL02","ARSJSQL02","","Item Updated"
"a9K1L000000GmvcUAC","ARSJSQL02DV","ARSJSQL02DV","","Item Updated"
