ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Processor % Processor Time Total,_Total,2017-11-10T12:00:00Z,70.51104736,90.14154053,99.95678711,btl09032602.hq.huskyenergy.com,btl09032602,CPU Utilization,Baseline,btl09032602.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total,_Total,2017-11-10T12:00:00Z,99.51799011,99.51799011,99.51799011,BTL11060102.hq.huskyenergy.com,BTL11060102,CPU Utilization,Baseline,BTL11060102.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,19.84512329,26.39239693,36.45342255,cwf014.hq.huskyenergy.com,cwf014,CPU Utilization,Baseline,cwf014.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,16.58141136,66.08905611,99.95241547,CWF022.hq.huskyenergy.com,CWF022,CPU Utilization,Baseline,CWF022.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,7.364421844,30.83311838,82.61508942,cwf198.hq.huskyenergy.com,cwf198,CPU Utilization,Baseline,cwf198.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,10.01663685,17.30308604,59.1099205,CWF287.hq.huskyenergy.com,CWF287,CPU Utilization,Baseline,CWF287.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,49.47317505,59.07643824,98.02098083,cwf306.hq.huskyenergy.com,cwf306,CPU Utilization,Baseline,cwf306.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,5.414710522,8.67234532,26.81412697,CWF314.hq.huskyenergy.com,CWF314,CPU Utilization,Baseline,CWF314.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,4.040157795,10.82910109,41.69863129,cwf366.hq.huskyenergy.com,cwf366,CPU Utilization,Baseline,cwf366.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total 2003,_Total,2017-11-10T12:00:00Z,6.116343021,17.76371562,48.10945892,SWF042.hq.huskyenergy.com,SWF042,CPU Utilization,Baseline,SWF042.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total Windows Server 2008,_Total,2017-11-10T12:00:00Z,4.894906521,34.37419827,81.25460052,CGWAPP1042PD.hq.huskyenergy.com,CGWAPP1042PD,CPU Utilization,Baseline,CGWAPP1042PD.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total Windows Server 2008,_Total,2017-11-10T12:00:00Z,14.3171978,24.82927568,43.57199478,cwf114.hq.huskyenergy.com,cwf114,CPU Utilization,Baseline,cwf114.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor % Processor Time Total Windows Server 2008,_Total,2017-11-10T12:00:00Z,6.425077915,30.15106302,69.05937958,CWF812.hq.huskyenergy.com,CWF812,CPU Utilization,Baseline,CWF812.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
Processor Information % Processor Time Total Windows Server 2008 R2,_Total,2017-11-10T12:00:00Z,7.542966366,22.7423288,46.02185059,ARHGDC01.hq.huskyenergy.com,ARHGDC01,CPU Utilization,Baseline,ARHGDC01.hq.huskyenergy.com-CPU Utilization-_Total-Baseline,%
