Name,External Id,Data Center
 HWF013, HWF013,
0102042SVR1  ,0102042SVR1  ,
0102042SVR2,0102042SVR2,
10.180.1.213,10.180.1.213,
10.180.1.91,10.180.1.91,
10.180.1.94,10.180.1.94,
10.180.1.95,10.180.1.95,
10.180.1.96,10.180.1.96,
10.200.98.151,10.200.98.151,
10.200.98.152,10.200.98.152,
10.200.98.153,10.200.98.153,
10.216.101.31,10.216.101.31,
10.216.101.32,10.216.101.32,
10.216.101.33,10.216.101.33,
10.216.101.34,10.216.101.34,
10.216.101.35,10.216.101.35,
10.216.101.36,10.216.101.36,
10.216.101.82,10.216.101.82,
10.216.101.83,10.216.101.83,
10.216.101.84,10.216.101.84,
10.216.101.85,10.216.101.85,
10.216.101.86,10.216.101.86,
10.216.101.87,10.216.101.87,
10.222.32.70,10.222.32.70,
6,6,
ANF001,ANF001,
ARDRDC01,ARDRDC01,
ARDRHPMGMT,ARDRHPMGMT,
ARDRMBX01,ARDRMBX01,
ARDRMBX02,ARDRMBX02,
ARDRSNAP01,ARDRSNAP01,
ARDRSQL01,ARDRSQL01,Allandale DR Data Center 
ARDRSRM01,ARDRSRM01,Allandale DR Data Center 
ARDRTSM01,ARDRTSM01,Allandale DR Data Center 
ARDRVCS01,ARDRVCS01,
ARdrvcs01,ARdrvcs01,
ARGBAPP01,ARGBAPP01,
ARGBAPP02,ARGBAPP02,
ARGBBAK01,ARGBBAK01,
ARGBDC01,ARGBDC01,
ARGBMBX20,ARGBMBX20,
ARGBSCCM01,ARGBSCCM01,
ARHGAPP01,ARHGAPP01,
ARHGAPP01,ARHGAPP01,
ARHGBAK01,ARHGBAK01,
ARHGBK01,ARHGBK01,
arhgd2d.hq,arhgd2d.hq,
ARHGDC01,ARHGDC01,
ARHGMBX01,ARHGMBX01,
ARKRAPP01,ARKRAPP01,
ARKRDC01,ARKRDC01,
arkrrbs00,arkrrbs00,
ARKRVCS01,ARKRVCS01,
ARSJAPP01,ARSJAPP01,
ARSJAPP01DV,ARSJAPP01DV,
ARSJAPP02,ARSJAPP02,
ARSJAPP02DV,ARSJAPP02DV,
ARSJAPP05,ARSJAPP05,
ARSJAPP05DV,ARSJAPP05DV,
ARSJAPP06,ARSJAPP06,
ARSJAPP06DV,ARSJAPP06DV,
ARSJAPP07,ARSJAPP07,
ARSJAPP07DV,ARSJAPP07DV,
ARSJAPP08,ARSJAPP08,
ARSJAPP09,ARSJAPP09,
ARSJBES01,ARSJBES01,
ARSJBES02,ARSJBES02,
ARSJCH01,ARSJCH01,
ARSJCH02,ARSJCH02,
ARSJCMC01,ARSJCMC01,
ARSJCRT01,ARSJCRT01,
ARSJCS10DEV01,ARSJCS10DEV01,
ARSJCS10DEV02,ARSJCS10DEV02,
ARSJCS10PRD01,ARSJCS10PRD01,
ARSJCS10PRD02,ARSJCS10PRD02,
ARSJCSSTG01,ARSJCSSTG01,
ARSJCTX01,ARSJCTX01,St. John's 351 - Data Center
ARSJCTX02,ARSJCTX02,St. John's 351 - Data Center
ARSJCTX03,ARSJCTX03,St. John's 351 - Data Center
ARSJCTX04,ARSJCTX04,St. John's 351 - Data Center
ARSJCTX05DV,ARSJCTX05DV,
ARSJD2D01.HQ,ARSJD2D01.HQ,
ARSJDC01,ARSJDC01,
ARSJDSDV01,ARSJDSDV01,St. John's 351 - Data Center
ARSJFMCD01,ARSJFMCD01,St. John's 351 - Data Center
ARSJHPC,ARSJHPC,
ARSJHPC01,ARSJHPC01,
ARSJHPC02,ARSJHPC02,
ARSJHPC03,ARSJHPC03,
ARSJHPC04,ARSJHPC04,
ARSJHPC05,ARSJHPC05,
ARSJHPC06,ARSJHPC06,
ARSJHPIRS01,ARSJHPIRS01,
ARSJIMSD01,ARSJIMSD01,St. John's 351 - Data Center
ARSJIMSD03,ARSJIMSD03,St. John's 351 - Data Center
ARSJLB02,ARSJLB02,St. John's 351 - Data Center
ARSJLB03,ARSJLB03,St. John's 351 - Data Center
ARSJLDCOPS,ARSJLDCOPS,
ARSJLIC01,ARSJLIC01,
ARSJLIC02,ARSJLIC02,
ARSJLINUXBUILD,ARSJLINUXBUILD,St. John's 351 - Data Center
ARSJLLDEV01,ARSJLLDEV01,
ARSJLLDEV02,ARSJLLDEV02,
ARSJLS01,ARSJLS01,St. John's 351 - Data Center
ARSJLS02,ARSJLS02,St. John's 351 - Data Center
ARSJLS03,ARSJLS03,St. John's 351 - Data Center
ARSJLS04,ARSJLS04,St. John's 351 - Data Center
ARSJLS05,ARSJLS05,St. John's 351 - Data Center
ARSJLS06,ARSJLS06,St. John's 351 - Data Center
ARSJLS07,ARSJLS07,St. John's 351 - Data Center
ARSJLS08,ARSJLS08,St. John's 351 - Data Center
ARSJLS09,ARSJLS09,St. John's 351 - Data Center
ARSJLS10,ARSJLS10,St. John's 351 - Data Center
ARSJLS11,ARSJLS11,St. John's 351 - Data Center
ARSJLS12,ARSJLS12,St. John's 351 - Data Center
ARSJLW01,ARSJLW01,St. John's 351 - Data Center
ARSJLW02,ARSJLW02,St. John's 351 - Data Center
ARSJLW03,ARSJLW03,St. John's 351 - Data Center
ARSJLW04,ARSJLW04,
ARSJLW05,ARSJLW05,St. John's 351 - Data Center
ARSJLW07,ARSJLW07,St. John's 351 - Data Center
ARSJLW08,ARSJLW08,
ARSJLW09,ARSJLW09,
ARSJLW10,ARSJLW10,
ARSJLW11,ARSJLW11,
ARSJLW12,ARSJLW12,St. John's 351 - Data Center
ARSJLW13,ARSJLW13,St. John's 351 - Data Center
ARSJLW14,ARSJLW14,St. John's 351 - Data Center
ARSJLW15,ARSJLW15,
ARSJMBR01,ARSJMBR01,
ARSJMBX01,ARSJMBX01,
ARSJMBX02,ARSJMBX02,
ARSJMID01,ARSJMID01,
ARSJMON01,ARSJMON01,
ARSJNCC01,ARSJNCC01,
ARSJNCR01,ARSJNCR01,
ARSJSCCM01,ARSJSCCM01,
ARSJSCCM03,ARSJSCCM03,
ARSJSCOM01,ARSJSCOM01,
ARSJSCOM02,ARSJSCOM02,
ARSJSCOM03,ARSJSCOM03,
ARSJSNAP01,ARSJSNAP01,
ARSJSNAPVM01,ARSJSNAPVM01,
ARSJSQL01,ARSJSQL01,
ARSJSQL01DV,ARSJSQL01DV,
ARSJSQL02,ARSJSQL02,
ARSJSQL02DV,ARSJSQL02DV,
ARSJSQL03,ARSJSQL03,
ARSJSQL03DV,ARSJSQL03DV,
ARSJSRM01,ARSJSRM01,
ARSJSRS01DV,ARSJSRS01DV,
ARSJWEB01,ARSJWEB01,
ARSJWEB01DV,ARSJWEB01DV,
ARSJWEB02,ARSJWEB02,
ARSJWUG01,ARSJWUG01,
ARSRAPP01,ARSRAPP01,
ARSRAPP02,ARSRAPP02,Searose Data Center Ð EER3
arsrapp03,arsrapp03,
arsrapp04,arsrapp04,
ARSRAPP05,ARSRAPP05,
ARSRAPP06,ARSRAPP06,Searose Data Center Ð EER3
ARSRCS10DEV01,ARSRCS10DEV01,
ARSRCS10PRD01,ARSRCS10PRD01,
ARSRCSDV01,ARSRCSDV01,
ARSRDC01,ARSRDC01,
ARSRESX01,ARSRESX01,
ARSRESX02,ARSRESX02,Searose Data Center Ð EER3
ARSRESX03,ARSRESX03,
ARSRLS01,ARSRLS01,St. John's 351 - Data Center
ARSRSCCM01,ARSRSCCM01,
ARSRSCCM02,ARSRSCCM02,
ARSRSCOM01,ARSRSCOM01,
ARSRSQL01,ARSRSQL01,St. John's 351 - Data Center
ARSRWEB01,ARSRWEB01,
ARWMBAK01,ARWMBAK01,
awf003,awf003,Lloydminster Data Center
awf005,awf005,
BOLNYLRS199,BOLNYLRS199,
BTL08060203,BTL08060203,WCP Data Center
btl08060204,btl08060204,
btl08061201,btl08061201,
btl08071701,btl08071701,
btl08071702,btl08071702,
btl08071703,btl08071703,
btl08090201,btl08090201,
BTL08090203,BTL08090203,
BTL08090203,BTL08090203,WCP Data Center
BTL08090203,BTL08090203,
btl08101401,btl08101401,
btl08101402,btl08101402,
btl08101403,btl08101403,
btl090102201,btl090102201,
btl09032601,btl09032601,
BTL09032605,BTL09032605,WCP Data Center
btl09032605,btl09032605,
btl09050101,btl09050101,
btl09080302,btl09080302,WCP data centre
BTL09080303,BTL09080303,
BTL09080304,BTL09080304,
BTL09080305,BTL09080305,
BTL09080306,BTL09080306,
BTL09080307,BTL09080307,
BTL09080308,BTL09080308,WCP data centre
