"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a990q0000008baaAAA"," HWF013"," HWF013","","Item Updated"
"a990q0000008babAAA","0102042SVR1  ","0102042SVR1  ","","Item Updated"
"a990q0000008bacAAA","0102042SVR2","0102042SVR2","","Item Updated"
"a990q0000008badAAA","10.180.1.213","10.180.1.213","","Item Updated"
"a990q0000008baeAAA","10.180.1.91","10.180.1.91","","Item Updated"
"a990q0000008bafAAA","10.180.1.94","10.180.1.94","","Item Updated"
"a990q0000008bagAAA","10.180.1.95","10.180.1.95","","Item Updated"
"a990q0000008bahAAA","10.180.1.96","10.180.1.96","","Item Updated"
"a990q0000008baiAAA","10.200.98.151","10.200.98.151","","Item Updated"
"a990q0000008bajAAA","10.200.98.152","10.200.98.152","","Item Updated"
"a990q0000008bakAAA","10.200.98.153","10.200.98.153","","Item Updated"
"a990q0000008balAAA","10.216.101.31","10.216.101.31","","Item Updated"
"a990q0000008bamAAA","10.216.101.32","10.216.101.32","","Item Updated"
"a990q0000008banAAA","10.216.101.33","10.216.101.33","","Item Updated"
"a990q0000008baoAAA","10.216.101.34","10.216.101.34","","Item Updated"
"a990q0000008bapAAA","10.216.101.35","10.216.101.35","","Item Updated"
"a990q0000008baqAAA","10.216.101.36","10.216.101.36","","Item Updated"
"a990q0000008barAAA","10.216.101.82","10.216.101.82","","Item Updated"
"a990q0000008basAAA","10.216.101.83","10.216.101.83","","Item Updated"
"a990q0000008batAAA","10.216.101.84","10.216.101.84","","Item Updated"
"a990q0000008bauAAA","10.216.101.85","10.216.101.85","","Item Updated"
"a990q0000008bavAAA","10.216.101.86","10.216.101.86","","Item Updated"
"a990q0000008bawAAA","10.216.101.87","10.216.101.87","","Item Updated"
"a990q0000008baxAAA","10.222.32.70","10.222.32.70","","Item Updated"
"a990q0000008bayAAA","6","6","","Item Updated"
"a990q0000008bazAAA","ANF001","ANF001","","Item Updated"
"a990q0000008bb0AAA","ARDRDC01","ARDRDC01","","Item Updated"
"a990q0000008bb1AAA","ARDRHPMGMT","ARDRHPMGMT","","Item Updated"
"a990q0000008bb2AAA","ARDRMBX01","ARDRMBX01","","Item Updated"
"a990q0000008bb3AAA","ARDRMBX02","ARDRMBX02","","Item Updated"
"a990q0000008bb4AAA","ARDRSNAP01","ARDRSNAP01","","Item Updated"
"a990q0000008bb5AAA","ARDRSQL01","ARDRSQL01","Allandale DR Data Center ","Item Updated"
"a990q0000008bb6AAA","ARDRSRM01","ARDRSRM01","Allandale DR Data Center ","Item Updated"
"a990q0000008bb7AAA","ARDRTSM01","ARDRTSM01","Allandale DR Data Center ","Item Updated"
"a990q0000008bb8AAA","ARGBAPP01","ARGBAPP01","","Item Updated"
"a990q0000008bb9AAA","ARGBAPP02","ARGBAPP02","","Item Updated"
"a990q0000008bbAAAQ","ARGBBAK01","ARGBBAK01","","Item Updated"
"a990q0000008bbBAAQ","ARGBDC01","ARGBDC01","","Item Updated"
"a990q0000008bbCAAQ","ARGBMBX20","ARGBMBX20","","Item Updated"
"a990q0000008bbDAAQ","ARGBSCCM01","ARGBSCCM01","","Item Updated"
"a990q0000008bbEAAQ","ARHGBAK01","ARHGBAK01","","Item Updated"
"a990q0000008bbFAAQ","ARHGBK01","ARHGBK01","","Item Updated"
"a990q0000008bbGAAQ","arhgd2d.hq","arhgd2d.hq","","Item Updated"
"a990q0000008bbHAAQ","ARHGDC01","ARHGDC01","","Item Updated"
"a990q0000008bbIAAQ","ARHGMBX01","ARHGMBX01","","Item Updated"
"a990q0000008bbJAAQ","ARKRAPP01","ARKRAPP01","","Item Updated"
"a990q0000008bbKAAQ","ARKRDC01","ARKRDC01","","Item Updated"
"a990q0000008bbLAAQ","arkrrbs00","arkrrbs00","","Item Updated"
"a990q0000008bbMAAQ","ARKRVCS01","ARKRVCS01","","Item Updated"
"a990q0000008bbNAAQ","ARSJAPP01","ARSJAPP01","","Item Updated"
"a990q0000008bbOAAQ","ARSJAPP01DV","ARSJAPP01DV","","Item Updated"
"a990q0000008bbPAAQ","ARSJAPP02","ARSJAPP02","","Item Updated"
"a990q0000008bbQAAQ","ARSJAPP02DV","ARSJAPP02DV","","Item Updated"
"a990q0000008bbRAAQ","ARSJAPP05","ARSJAPP05","","Item Updated"
"a990q0000008bbSAAQ","ARSJAPP05DV","ARSJAPP05DV","","Item Updated"
"a990q0000008bbTAAQ","ARSJAPP06","ARSJAPP06","","Item Updated"
"a990q0000008bbUAAQ","ARSJAPP06DV","ARSJAPP06DV","","Item Updated"
"a990q0000008bbVAAQ","ARSJAPP07","ARSJAPP07","","Item Updated"
"a990q0000008bbWAAQ","ARSJAPP07DV","ARSJAPP07DV","","Item Updated"
"a990q0000008bbXAAQ","ARSJAPP08","ARSJAPP08","","Item Updated"
"a990q0000008bbYAAQ","ARSJAPP09","ARSJAPP09","","Item Updated"
"a990q0000008bbZAAQ","ARSJBES01","ARSJBES01","","Item Updated"
"a990q0000008bbaAAA","ARSJBES02","ARSJBES02","","Item Updated"
"a990q0000008bbbAAA","ARSJCH01","ARSJCH01","","Item Updated"
"a990q0000008bbcAAA","ARSJCH02","ARSJCH02","","Item Updated"
"a990q0000008bbdAAA","ARSJCMC01","ARSJCMC01","","Item Updated"
"a990q0000008bbeAAA","ARSJCRT01","ARSJCRT01","","Item Updated"
