"U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","ERROR"
"VMware vCenter Server","ARdrvcs01","ARdrvcs01","Production","ARSJVCS01","VMware","Unknown","GNU/Linux","3.0.101-0.7.19","201610 - Appliance: 351 VMWare VCentre Server Appliance. - VMWare virtual appliance","Linux Server","2016-01-19 13:16","janesl","(4) Business Critical","Duplicate external id specified: ardrvcs01"
"VMware vCenter Server","ARDRVCS01","ARDRVCS01","Disaster recovery","ARDRVCS01","VMware","Unknown","GNU/Linux","","201610 - Appliance(Virtual): VMWare Virtual Centre for VMware Site Recovery Manager at DR site. - VMware virtual appliance","Linux Server","2016-03-22 12:55","janesl","(1) Non-Critical","Duplicate external id specified: ardrvcs01"
"","ARHGAPP01","ARHGAPP01","Production","ARHGAPP01","HP","Unknown","Windows 2008 R2 Enterprise ","6.1","Henry Goodrich File Server","Windows Server","2014-04-08 5:48","wongpe","(1) Non-Critical","Duplicate external id specified: arhgapp01"
"","ARHGAPP01","ARHGAPP01","","ARHGAPP01","HP","HP ProLiant DL385 G7","Windows 2008 R2 Enterprise ","6.1.7601","","Windows Server","2015-01-30 20:32","mid_husky","(1) Non-Critical","Duplicate external id specified: arhgapp01"
"System Center Operations Manager 2012 R2 (SCOM)","ARSJSCOM01","ARSJSCOM01","Production","ARSJSCOM01","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","SCOM 2012 Gateway server at St. John's","Windows Server","2014-01-15 9:14","mid_husky","(2) Productivity Important","External Id: more than one record found for external id field: [a8m6300000002o3AAA, a8m6300000003QzAAI]"
"OFM - Oil Field Manager (Western Canada)","BTL08090203","BTL08090203","Production","BTL08090203","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","OFM License Server","Windows Server","2015-03-16 17:02","mid_husky","(5) Mission Critical","Duplicate external id specified: btl08090203"
"","BTL08090203","BTL08090203","Production","BTL08090203","VMware inc","","Windows 2003 Enterprise","5.2.3790","","Windows Server","2013-04-15 10:30","hashmm","(1) Non-Critical","Duplicate external id specified: btl08090203"
"OFM - Oil Field Manager (Western Canada)","BTL08090203","BTL08090203","Production","BTL08090203","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","OFM Application Bitlock Server","Windows Server","2012-09-27 9:50","mid_husky","(1) Non-Critical","Duplicate external id specified: btl08090203"
"WellCAD","BTL09032605","BTL09032605","Production","btl09032605","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","WellCad License Bitlock Server","Windows Server","2013-05-03 17:02","mid_husky","(4) Business Critical","Duplicate external id specified: btl09032605"
"WellCAD","btl09032605","btl09032605","Production","btl09032605","HP","Hewlett-Packard Company ProLiant DL120 G5 Server 533983-001","Windows 2008 R2 Standard ","5.2.3790","Bitlock Server - This one is a duplicate. Use upper case BTL09032605 in the CMDB - changing status of this CI to retired as the other server CI (virtual) is the right server","Windows Server","2013-08-09 17:03","mid_husky","(1) Non-Critical","Duplicate external id specified: btl09032605"
"RokDoc","btl11060102","btl11060102","Production","btl11060102","VMware","VMware, Inc. VMware Virtual Platform","Windows 2000 Server","5","IKON RokDoc License Bitlock Server","Windows Server","2013-06-19 15:55","hashmm","(1) Non-Critical","Duplicate external id specified: btl11060102"
"RokDoc","btl11060102","btl11060102","Production","btl11060102","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","5.1.2600","Bitlock Server","Windows Server","2014-02-17 17:04","mid_husky","(1) Non-Critical","Duplicate external id specified: btl11060102"
"DM Content Server (ECM)","CGWAPP104DV","CGWAPP104DV","Development","CGWAPP104DV","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","DM-DV01","Windows Server","2012-12-17 13:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp104dv"
"DM Content Server (ECM)","CGWAPP104DV","CGWAPP104DV","Development","CGWAPP104DV","","Unknown","Windows 2008 R2 Standard ","6.1","I think this may be a duplicate - assigned to App anyway","Windows Server","2015-03-16 12:24","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp104dv"
"opsInfo (Calgary)","CGWAPP1208PS","CGWAPP1208PS","Production Support (PS)","CGWAPP1208PS","VMware, Inc.","Unknown","Windows 2012 R2 Standard","6.3.9600","updated based on ticket INC0669150","Windows Server","2016-10-25 14:58","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp1208ps"
"opsInfo (Calgary)","CGWAPP1208PS","CGWAPP1208PS","Production Support (PS)","","VMware, Inc.","VMware, Inc. VMware Virtual Platform","","","","Windows Server","2016-11-08 11:13","kumarsr","(1) Non-Critical","Duplicate external id specified: cgwapp1208ps"
"","cgwapp369ts","cgwapp369ts","Development","CGWAPP369TS","","Unknown","Windows 2008 R2 Enterprise ","6.1","","Windows Server","2014-06-30 13:26","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp369ts"
"DM Content Server (ECM)","CGWAPP369TS","CGWAPP369TS","Test","CGWAPP369TS","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","DM-TS06-CSF - CS Front End Server","Windows Server","2013-06-11 10:28","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp369ts"
"","CGWAPP397PD","CGWAPP397PD","","CGWAPP397PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","","Microsoft Windows Server 2008 R2 (64-bit","2016_confirmed_vcenter","Windows Server","2016-12-06 16:02","sethuk","(4) Business Critical","Duplicate external id specified: cgwapp397pd"
"Mule Management Console, MuleESB","CGWAPP397PD","CGWAPP397PD","Production","CGWAPP397PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","CGWAPP397PD","Windows Server","2013-07-29 13:04","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp397pd"
"DM Content Server (ECM), OpenText Livelink Monitoring Agent (LLMA)","CGWAPP610PD","CGWAPP610PD","Production","CGWAPP610PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","DM-PD-CSG Content Server Agents



Location DC: Airdrie (DR)

","Windows Server","2014-07-11 14:20","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwapp610pd"
"DM Content Server (ECM)","CGWAPP610PD","CGWAPP610PD","Production","cgwapp610pd","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1","cgwapp610pd","Windows Server","2014-04-07 13:57","gruenp","(5) Mission Critical","Duplicate external id specified: cgwapp610pd"
"","CGWAPP969PD","CGWAPP969PD","Production","cgwapp969pd","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","What's Up Gold Application server","Windows Server","2015-09-09 13:27","macneis","(5) Mission Critical","Duplicate external id specified: cgwapp969pd"
"What's up Gold Network Monitoring","CGWAPP969PD","CGWAPP969PD","Production","CGWAPP969PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","What's up Gold in the Blue Zone","Windows Server","2015-05-26 14:55","hashmm","(5) Mission Critical","Duplicate external id specified: cgwapp969pd"
"PlantManager (Lima)","CGWBTL013PD","CGWBTL013PD","Production","CGWBTL013PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","","Windows 2008 Standard R2","Bitlock License server

2016_confirmed_vcenter

","Windows Server","2013-09-25 22:34","system","(2) Productivity Important","Duplicate external id specified: cgwbtl013pd"
"","CGWBTL013PD","CGWBTL013PD","Production","CGWBTL013PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","CHG000000262596","Windows Server","2012-11-12 17:18","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwbtl013pd"
